,name,time
2172,Josiah Habakkuk,1
2173,Kitty Wells,1
2174,Mary Hidle,1
2175,Robert Sim,1
2176,TO THE,1
2177,Mr. Lerrain,1
2178,Miss Sally Ross,1
2179,Rob F,1
1948,Richard .Lestar,1
2181,John Ferguson,1
1947,Alexander Watson,1
1946,Luke Lindsay,1
2182,JAMES DORMAND,1
2183,Patrick Square,1
2168,Thyrde Bravest,1
2167,Mrs Connell,1
2185,Alexander M'Lean,1
2166,Spruce Christian Mustyes,1
1955,Barrowfield Road,1
1954,Mr. J. HENSHALL,1
1953,Camlachie Militia,1
1952,Dennis Doolan,1
2154,Joy Ill,1
2155,Should Malice,1
2156,Quoth Finlay,1
1951,Tom Spring,1
2157,Ye Sons,1
2158,Blarney M'Shane,1
2159,County Buildings,1
2160,William Cunningham,1
2161,Weekly Chronicle,1
2162,Where Meola,1
2163,Seven Years,1
2164,William Walker,1
2165,Donald Graham,1
1945,Love Thou,1
2186,Hainous Act,1
2218,James Whiteside,1
2203,Gilbert M'Leod,1
2205,Henrys Death,1
1936,Ye Zephyres,1
1935,Brother Adam,1
2206,Macpherson Rab,1
2207,Lawranse Scott,1
2208,Had Succours,1
2209,Trumpet Voice,1
2210,Duncan M,1
2211,James Kenny Stewert,1
2212,Forty Acres,1
2213,Michael Kiely,1
2214,Miss Dinah,1
1933,Pen Thy Praise,1
2215,College Street,1
2216,Where Robin Redbreast,1
1932,Thomas White,1
2217,Margaret Pa'erson,1
2204,Hab Simphon,1
2202,Captain Jeffrey,1
1944,Lord Maitland,1
2201,Old Abigail Simpson,1
2187,Tam Glen,1
1942,"James M'Ewan,3",1
1941,Janet Mathie,1
2189,Aweel 't,1
2190,James Taylor,1
1939,Hugh Hannah,1
1938,Willie Mathieson,1
2191,Puts Kings,1
2192,Where Money,1
2193,Paramandelang Rattskiammum,1
2194,Fergus Ferguson,1
2195,Smiddy My,1
2196,Bauldy Strang,1
2197,William Weare,1
2198,Orange Jerkin,1
2199,Town Clerk,1
1937,Sheriff Depute,1
2528,Church Bill,1
2623,Isabel Davie,1
2529,Robert Hodge,1
3129,Geordie Gordon,1
3116,My Sins,1
3117,Main Point,1
3118,Anne Marie,1
3119,Miss Graham,1
3120,Mr. Moffat,1
3121,Mrs Balfour,1
3123,Messrs Nicebit,1
3124,Henry Reid,1
3127,Hainous Crimes,1
3128,Walter M'lntosh,1
3130,Wretch Tho,1
3087,Is Louden Folks,1
3131,Hill Easter Snow Anne,1
3132,Joseph Smith,1
3133,William M'Call,1
3134,William Cairns,1
3135,Peter Murphy,1
3136,Mr. Orr,1
3137,Daniel Haunan,1
3138,Miss Betty Brown,1
3139,Fair Sir,1
3140,Lord Mackenzie,1
3115,English Court,1
3114,Janet Greig,1
3113,Shillings Sterling,1
3112,Daniel M'Donald,1
3089,William Eaton,1
3090,Margaret M'Mahon,1
3091,Paddy Whack,1
3092,Robert M'Neill,1
3093,Who Conquer,1
3095,Denis Doolan,1
3096,Mrs M'Millan,1
3097,Margret Leitch,1
3098,John Millar,1
3099,Mr. Blackwood,1
3100,Abbays Bailzie,1
3101,David Anderson,1
3102,High Treason,1
3103,John Clod,1
3104,Janet Alexander,1
3105,Nine CATS,1
3106,Dear Exquisite,1
3107,Great Bellona,1
3108,Honest Hearted Gentleman,1
3109,Helen McDougal,1
3111,Fat Actor,1
3141,Thomas M'Ritchie,1
3142,Place Lan,1
3143,Round Loch,1
3170,Thomas Walker,1
3172,Samuel Johnson,1
3173,James Scott,1
3174,Robert Ist,1
3176,Robert Marshall,1
3178,Bethia Kent,1
3179,Eric Campbell,1
3180,Great St.,1
3181,Jean Berrie,1
3182,George Sutherland,1
3183,Meg I—and,1
3184,Sarah Gaze,1
3185,Janet Forsyth,1
3186,King James,1
3187,Helen Baxter,1
